id;marca;nomeDaPeca;precoComDesconto;precoSemDesconto;Descricao;Tamanho;Condicao;Cores;DisponÌvel;Data;Status
22701;Taverniti;Jaqueta Jeans Taverniti;199.00;199.00;Jaqueta oversized jeans escuro, garimpada em Buenos Aires, Argentina. Possui quatro bolsos na frente, fechamento por botıes vintage. Jaqueta original dos anos 90.;M;Vintage;;DISPONIVEL;46:38.3;VERIFICADO
22703;Sem Marca;Camisa Estampada Colorida;129.00;129.00;Camisa vintage com estampa colorida, de manga longa, sem bolsos. Modelagem reta. Garimpada em Buenos Aires, Argentina.;G;Vintage;;DISPONIVEL;49:11.0;VERIFICADO
22705;Robert Pierre;Bermuda Robert Pierre;49.00;49.00;Bermuda jeans cinza, vintage, com cinco bolsos: 3 na parte da frente e 2 nas costas, modelagem reta e barra desfiada.;42;Vintage;;DISPONIVEL;46:21.3;VERIFICADO
22442;Croft & Barrow;Camisa Vintage Croft & Barrow;129.00;129.00;Camisa vintage com estampa tropical, garimpada em Buenos Aires, Argentina. Tem manga curta, È bem levinha e fresquinha, Ûtima para o ver„o. Possui um bolso, fechamento por botıes. … vintage, mas est· em Ûtimo estado de conservaÁ„o.;G;Vintage;;DISPONIVEL;46:55.0;VERIFICADO
22443;Boo Jo;Camisa Vintage Boo Jo;129.00;129.00;Camisa vintage estampada, garimpada em Buenos Aires, Argentina. Tem mangas compridas, È bem levinha e confort·vel, com tecido super macio.;M;Vintage;;DISPONIVEL;49:27.8;VERIFICADO
22444;Sem Marca;Camisa Estampada Pav„o;129.00;129.00;Camisa vintage, com estampa de pav„o, garimpada em Buenos Aires, Argentina. Manga longa, sem bolsos, tecido bem leve e confort·vel. Est· em Ûtimo estado de conservaÁ„o.;M;Vintage;;DISPONIVEL;47:17.3;VERIFICADO
22445;You Too;Camisa Vintage Colorida You Too;129.00;129.00;Camisa vintage com estampa bem colorida, garimpada em Buenos Aires, Argentina. … uma peÁa de manga longa, porÈm bem leve, perfeita para qualquer estaÁ„o. A parte das costas È mais comprida que a parte da frente. Est· em Ûtimo estado de conservaÁ„o.;PP;Vintage;;DISPONIVEL;47:04.7;VERIFICADO
22446;Windmill;Camisa Windmili;129.00;129.00;Camisa vintage estampada, garimpada em Buenos Aires, Argentina. Tem estampa havaiana, bem colorida, com tecido leve, fresquinho e super confort·vel, perfeita para o ver„o. Manga curta, dois bolsos na parte da frente, em Ûtimo estado de conservaÁ„o e super estilosa.;G;Vintage;;DISPONIVEL;49:34.7;VERIFICADO
22447;Rica Lewis;Jaqueta Jeans Cropped Vintage;199.00;199.00;Jaqueta jeans cropped vintage, garimpada em Buenos Aires, Argentina. Tem 4 bolsos externos, e um el·stico grande na cintura, que deixa a peÁa com estilo bomber. Foi feita a partir do reaproveitamento de uma calÁa jeans, o que fica mais evidenciado na parte das costas, que era a parte das costas da calÁa. … uma peÁa ˙nica e super original.;M;Vintage;;DISPONIVEL;46:58.1;VERIFICADO
22448;Narrow Jeans;Jaqueta Narrow Jeans;199.00;199.00;Jaqueta vintage em jeans escuro, garimpada em Buenos Aires, Argentina. Tem quatro bolsos na parte da frente, dois deles fechados por botıes. Oversized, cl·ssica e original dos anos 90, super estilosa.;GG;Vintage;;DISPONIVEL;49:24.3;VERIFICADO
22449;Nike;Camiseta Futebol Americano Miami Dolphins;289.00;289.00;Camiseta oficial do time de futebol americano Miami Dolphins, na cor turquesa. Todos os detalhes, como n˙meros e sÌmbolos, s„o bordados na peÁa. … uma peÁa de excelente qualidade, original, com selo oficial da NFL. N˙mero 22, pertence ao running back Reggie Bush. Est· em perfeito estado de conservaÁ„o. Garimpada em Buenos Aires, Argentina.;56;Vintage;;DISPONIVEL;46:15.0;VERIFICADO
22450;Dibust;Jaqueta Jeans Cropped Vintage;199.00;199.00;Jaqueta jeans cropped vintage, garimpada em Buenos Aires, Argentina. Jeans escuro, com detalhes em marrom. Tem quatros bolsos na parte da frente, dois deles possuem botıes. Super estilosa, original dos anos 90.;P;Vintage;;DISPONIVEL;47:34.4;VERIFICADO
22707;Craft&Barrow;Camisa Estampada Croft&Barrow;129.00;129.00;Camisa vintage Croft&Barrow, garimpada em Buenos Aires, Argentina. Modelagem reta, com um bolso na parte da frente, manga curta. Estampa tropical em tons verdes.;G;Vintage;;DISPONIVEL;49:14.3;VERIFICADO
22452;Zara;Vestido LenÁo Zara;79.00;79.00;Vestido com estampa de lenÁo Zara Basic, bem leve e delicado. Manga 3/4, curto, com abertura na parte da frente e detalhe em metal no decote.;P;Vintage;;DISPONIVEL;47:11.0;VERIFICADO
22709;Pusser's;Camisa Estampada Pusser‚Äôs;129.00;129.00;Camisa vintage, garimpada em Buenos Aires, Argentina. Modelagem reta, oversized, com um bolso na parte da frente, mangas curtas. Estampa tropical em tons clarinhos. Leve e super confort·vel para o ver„o.;GG;Vintage;;DISPONIVEL;49:07.2;VERIFICADO
22711;Embrujo;Jaqueta Jeans Embrujo;199.00;199.00;Jaqueta jeans escura, com detalhes em camurÁa nas mangas e em tecido nas costas e na frente. PeÁa vintage, garimpada em Buenos Aires, Argentina. Possui dois bolsos externos, fechamento por botıes.;P;Vintage;;DISPONIVEL;47:23.9;VERIFICADO
22713;Nape Nautical;Camisa Vintage Nautical;129.00;129.00;Camisa vintage, garimpada em Buenos Aires, Argentina. Modelagem reta, com um bolso na parte da frente, manga curta. Branca, com estampa de √¢ncoras.;G;Vintage;;DISPONIVEL;46:18.3;VERIFICADO
